Molarity,NaCl,Sucrose,Arginine,pH,Buffer,Concentration (mg/mL),Formulation ID,Base Value,Predicted Value
6.738737435966061e-09,-3.4803569473620287e-10,-5.769532636307521e-10,1.886824899918894e-08,-1.0684206240265046e-08,6.480036323981858e-09,-1.1957566346855708e-08,18,3.012718037819096e-07,3.0979206499555874e-07
-2.7934353176116087e-08,8.944305583140619e-11,-3.4038855474593294e-09,-4.755486790437859e-09,-2.2852849050577427e-08,1.6831940106112974e-08,1.0927897262617305e-08,19,3.012718037819096e-07,2.7017450964188055e-07
-2.7746676155745612e-08,9.195472707382659e-11,-3.3601902227867242e-09,-5.08039155602928e-09,-2.2513162585702468e-08,1.6978549674381015e-08,6.1530827878593135e-09,19,3.012718037819096e-07,2.6579497045095963e-07
-2.698637788112272e-08,9.577547135734086e-11,-3.2510392708435764e-09,-5.6121924861729426e-09,-2.1625752652201736e-08,1.7052951751721844e-08,-3.623991915665209e-09,19,3.012718037819096e-07,2.573211767989826e-07
-2.5780584639465698e-08,9.769099936449346e-11,-3.1224078801258955e-09,-5.9461013020661234e-09,-2.0538645572495893e-08,1.6831301262667088e-08,-1.2901338929224675e-08,19,3.012718037819096e-07,2.4991171772056286e-07
7.592854333756972e-09,5.1701957730027776e-11,-5.448588573661044e-09,4.874591063212049e-09,-1.2721996407647666e-09,1.4739106067095713e-08,9.909563316989862e-09,20,3.012718037819096e-07,3.317188323062684e-07
7.79881015704564e-09,5.345512146345885e-11,-5.407615448183001e-09,4.7528620264634826e-09,-1.0606408366588516e-09,1.5310167451536952e-08,5.919856675608467e-09,20,3.012718037819096e-07,3.286386989291857e-07
8.096275392626175e-09,5.589152133089995e-11,-5.274061835274681e-09,4.357268448094741e-09,-6.462857925196766e-10,1.629958995099285e-08,-2.989746169702313e-09,20,3.012718037819096e-07,3.2117073529745757e-07
8.218173675352205e-09,5.6719163889049716e-11,-5.083812182429217e-09,3.793557025960275e-09,-2.787148919294976e-10,1.7004191136923927e-08,-1.2394886240055157e-08,20,3.012718037819096e-07,3.1258703146962116e-07
-3.698979413370389e-09,8.753361547141254e-11,-2.680569548721365e-09,-2.3283650898597355e-08,-6.5809637221415566e-09,2.3454908234545502e-08,1.3410592475342789e-08,21,3.012718037819096e-07,3.019806745244386e-07
-3.861043611943099e-09,7.774044743078052e-11,-2.7136410828345817e-09,-2.498215802252608e-08,-6.8834520713188826e-09,2.3843238150933036e-08,7.496764259596788e-09,21,3.012718037819096e-07,2.9424925185124753e-07
-4.191470512169427e-09,5.74281503270126e-11,-2.756924700227683e-09,-2.784330766373304e-08,-7.353244294456813e-09,2.4336477588584812e-08,-4.493940799486449e-09,21,3.012718037819096e-07,2.79026821550748e-07
-4.502992810936261e-09,3.781386741238217e-11,-2.7667910299923212e-09,-2.9768408270763435e-08,-7.607835461764053e-09,2.44129649520945e-08,-1.5720782838612562e-08,21,3.012718037819096e-07,2.653557721893478e-07
-1.9433011392127308e-08,8.080862783473173e-11,1.6711200669786215e-09,-1.5913937294582484e-08,-3.970037163763655e-09,2.561377995078028e-08,1.2941858670372658e-08,22,3.012718037819096e-07,3.022623852474024e-07
-1.9520037477183605e-08,6.957797771472321e-11,1.6620273796988906e-09,-1.727170344914228e-08,-4.4275346730166965e-09,2.595967974644806e-08,7.254103349207695e-09,22,3.012718037819096e-07,2.949979166356364e-07
-1.9520423952386966e-08,4.6461037725599296e-11,1.632581624186105e-09,-1.9620745188405676e-08,-5.26893315718057e-09,2.63092789499533e-08,-4.322084650272523e-09,22,3.012718037819096e-07,2.8052793844552887e-07
-1.9290490269233423e-08,2.4363163752392784e-11,1.5909266580856915e-09,-2.1297536098907902e-08,-5.94523829167322e-09,2.6176939579185198e-08,-1.5215742700238464e-08,22,3.012718037819096e-07,2.6731502582287985e-07
2.2451191459442918e-08,-1.3904054709652353e-10,5.560020720892517e-09,1.4816273570192222e-08,-1.5456209450115047e-09,-2.2832643333606635e-09,9.37699918666959e-09,23,3.012718037819096e-07,3.4950836289363813e-07
2.3086257299573976e-08,-1.1413180318766e-10,5.573669278238715e-09,1.5324570572595925e-08,-1.2203062164942702e-09,-2.363256740809873e-09,5.802379277838425e-09,23,3.012718037819096e-07,3.4736098544966484e-07
2.4060415997296855e-08,-6.222225584120498e-11,5.5215315375139396e-09,1.5971900679652676e-08,-7.1842741797491e-10,-2.534714420163319e-09,-2.6434490965075617e-09,23,3.012718037819096e-07,3.4086683880588607e-07
2.4564295671093615e-08,-1.1824634682586809e-11,5.369165526800685e-09,1.6081263147435496e-08,-4.566846307336659e-10,-2.7066246059481728e-09,-1.2102450320765738e-08,23,3.012718037819096e-07,3.3200894393510923e-07
-1.9873717073065134e-08,3.8186044461968736e-10,4.952993825096226e-10,1.7009286433822418e-08,5.1691014310376354e-09,-7.854311822909904e-09,1.0021881898242656e-08,24,3.012718037819096e-07,3.0662120447616656e-07
-2.024081936597338e-08,3.663780767960547e-10,4.668001441428973e-10,1.797523860293401e-08,5.3318275966442414e-09,-8.137396229347335e-09,5.864517325274777e-09,24,3.012718037819096e-07,3.0289834993238087e-07
-2.0787710056958437e-08,3.289702363810831e-10,3.9902465251410677e-10,1.9612502775716964e-08,5.596682879152091e-09,-8.622391094911923e-09,-3.134453757460984e-09,24,3.012718037819096e-07,2.9466442941634247e-07
-2.1043209447375588e-08,2.861531798069996e-10,3.226989558350838e-10,2.0728587925244397e-08,5.761252868271492e-09,-8.959980294921309e-09,-1.2291157824791387e-08,24,3.012718037819096e-07,2.860761491439793e-07
-6.801631865138833e-09,2.494287266903589e-09,2.5478257749240734e-10,-4.0972996142758514e-08,2.0221645910884498e-08,-8.846492853442743e-09,1.4888534807649183e-08,25,3.012718037819096e-07,2.825099334834992e-07
-6.5690851163327935e-09,2.521813730793083e-09,2.3340161374376287e-10,-4.287104211190678e-08,1.9597203828593204e-08,-9.148729775906032e-09,8.213350039125636e-09,25,3.012718037819096e-07,2.7324871599001966e-07
-6.05765761589176e-09,2.532049507556462e-09,1.8641581505311896e-10,-4.6102707886802655e-08,1.8133417297617187e-08,-9.653434901359941e-09,-5.078893084544234e-09,25,3.012718037819096e-07,2.552309929135378e-07
-5.5271011701730455e-09,2.482375526717889e-09,1.3774497391067827e-10,-4.832873254306069e-08,1.6509045246544428e-08,-9.98431089093767e-09,-1.7201705145433968e-08,25,3.012718037819096e-07,2.3935911977947723e-07
-2.6001020686544303e-08,3.874458965165071e-11,-5.431553701475341e-09,4.849111998193822e-09,-2.0699877193812312e-08,1.1761895008502506e-08,1.1171110792269116e-08,26,3.012718037819096e-07,2.769602145886947e-07
-2.623276278896086e-08,3.1792682467893406e-11,-5.436410871470769e-09,4.4758768767400496e-09,-2.1541601853571288e-08,1.2053923162333252e-08,6.397208456157395e-09,26,3.012718037819096e-07,2.7101982944560526e-07
-2.6319814484855248e-08,1.6952795638268618e-11,-5.39884033689244e-09,3.58003393055719e-09,-2.30270807732868e-08,1.2484867184844474e-08,-3.614402114519083e-09,26,3.012718037819096e-07,2.5899351998339596e-07
-2.590268843211215e-08,0.0,-5.301903188026599e-09,2.562173798207687e-09,-2.4131914549439558e-08,1.267805065935518e-08,-1.3415882179547847e-08,26,3.012718037819096e-07,2.477596398903463e-07
-1.4291586889385145e-09,-2.61646802903459e-09,3.952166337557886e-09,-5.177659819736353e-08,1.6343933905187687e-08,-7.627004398756353e-09,1.548145875728745e-08,27,3.012718037819096e-07,2.736001334678496e-07
-1.614583293548824e-09,-2.6364772571226363e-09,4.145820211186672e-09,-5.3904145150521766e-08,1.5621739818802605e-08,-7.943307768550898e-09,8.534266339431092e-09,27,3.012718037819096e-07,2.634751166815858e-07
-1.970952808894576e-09,-2.6283730871715924e-09,4.490554994677339e-09,-5.743146865387973e-08,1.4025660747567195e-08,-8.497130322860576e-09,-5.285954514302585e-09,27,3.012718037819096e-07,2.439741401370451e-07
-2.2789581352866018e-09,-2.557506686986363e-09,4.751030007363482e-09,-5.971420669340549e-08,1.2363409571200881e-08,-8.90069927158544e-09,-1.7872158696950475e-08,27,3.012718037819096e-07,2.2706271387625957e-07
-2.648698764325649e-08,-1.4945934163170247e-09,-5.3921435040630556e-09,-2.6952357238680865e-08,2.041454904448989e-08,-1.2821136692288567e-08,1.3031189222113555e-08,28,3.012718037819096e-07,2.61570323553907e-07
-2.5960947129085084e-08,-1.4946565722730658e-09,-5.436610106849797e-09,-2.831628830724739e-08,2.0318140851919674e-08,-1.3070304733813583e-08,7.160941560205252e-09,28,3.012718037819096e-07,2.544720793447656e-07
-2.456957934596003e-08,-1.4662910146317414e-09,-5.482443509670086e-09,-3.059017375904916e-08,1.9940931803411754e-08,-1.3399456947946067e-08,-4.476509482643844e-09,28,3.012718037819096e-07,2.412282815254204e-07
-2.2845280637281047e-08,-1.4027213878806895e-09,-5.467955095154227e-09,-3.208100959452575e-08,1.9353680329508416e-08,-1.3477755282933196e-08,-1.5020779617495256e-08,28,3.012718037819096e-07,2.3032998249614781e-07
-3.181324770212248e-08,-3.4526470626243144e-10,-6.72597106098829e-09,1.3938253769914132e-09,-2.2120991205557016e-08,-7.240929669805065e-09,1.2004508549842957e-08,29,3.012718037819096e-07,2.464237333640087e-07
-3.214528228233696e-08,-3.731784108324921e-10,-6.69660537603912e-09,7.989121327541111e-10,-2.2420884810188346e-08,-7.33294971722204e-09,6.711870656613148e-09,29,3.012718037819096e-07,2.398136859746579e-07
-3.232328820281325e-08,-4.207903357154773e-10,-6.569183454426904e-09,-4.790370033158584e-10,-2.274856721688799e-08,-7.429537605156732e-09,-4.029556119905517e-09,29,3.012718037819096e-07,2.2727184384368787e-07
-3.184548241739252e-08,-4.536343676721903e-10,-6.361919416278137e-09,-1.7672974807549732e-09,-2.2693746671004955e-08,-7.4024165114611775e-09,-1.4094361953345594e-08,29,3.012718037819096e-07,2.1665294496400005e-07
4.2329140870012766e-09,1.8091857806188207e-09,5.555423959838733e-09,-5.5377557319318566e-08,2.115851788474174e-09,-5.635962857589652e-09,1.4898912853464253e-08,30,3.012718037819096e-07,2.688705720743986e-07
4.03873203255376e-09,1.8482974605846303e-09,5.7154208778955755e-09,-5.747528459750866e-08,1.6112339929128748e-09,-5.825832398112474e-09,8.175707124250931e-09,30,3.012718037819096e-07,2.5936007827448625e-07
3.6179735825211773e-09,1.8933937488938016e-09,5.96203072701331e-09,-6.076189508740124e-08,6.36627105670809e-10,-6.179131855288337e-09,-5.122987509908174e-09,30,3.012718037819096e-07,2.4131781449341094e-07
3.188717153562282e-09,1.891147645595262e-09,6.09192031327686e-09,-6.258615406031197e-08,-2.1222083695031134e-10,-6.467391599684823e-09,-1.7136305690220752e-08,30,3.012718037819096e-07,2.2604151670717613e-07
1.7312759382978943e-08,1.5946424633134572e-10,-2.183454209725457e-09,1.3062627752280159e-08,1.166037475100821e-08,-3.1714338389293287e-09,8.303141214379572e-09,31,3.012718037819096e-07,3.46415283080233e-07
1.7509221013270924e-08,1.5401731401834923e-10,-2.1386188976810987e-09,1.424904847057354e-08,1.1760855699721459e-08,-3.349849984473409e-09,4.995744629134507e-09,31,3.012718037819096e-07,3.4445222202647386e-07
1.7748618535026293e-08,1.412306134408278e-10,-2.0283281989802336e-09,1.6562204880990156e-08,1.206246259012124e-08,-3.680864470772435e-09,-2.4722533722167646e-09,31,3.012718037819096e-07,3.396048743595187e-07
1.776622250559605e-08,1.2701139475584996e-10,-1.900055691618322e-09,1.8606966879035485e-08,1.2474314982528793e-08,-3.950151291615225e-09,-1.0445970801416665e-08,31,3.012718037819096e-07,3.3395014175917554e-07
2.2490987915056722e-08,3.7057473723026204e-10,4.029116635681731e-09,1.7748293614233765e-08,3.4442428074293385e-09,-3.841273968742278e-09,8.45190972765165e-09,32,3.012718037819096e-07,3.5396565525045076e-07
2.2881379488211642e-08,3.471047126912651e-10,3.982484893302615e-09,1.8794076506189662e-08,3.589246427094058e-09,-3.98726249129784e-09,5.1738942145534065e-09,32,3.012718037819096e-07,3.520527275326544e-07
2.342498213955998e-08,2.9431362266783794e-10,3.827736281136832e-09,2.0685624413005867e-08,3.872190654835311e-09,-4.252657593637549e-09,-2.435203133103784e-09,32,3.012718037819096e-07,3.466887901663741e-07
